album_id,artist_ids,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track_number,type,uri
4fFbDrfnPDYqxbz4i3yOL4,"[""3hYtANQYrE6pd2PbtEyTIy""]",1,214386,0,"{""isrc"": ""US67R9700298""}","{""spotify"": ""https://open.spotify.com/track/6H2gA3ssBTODpd82mrm72c""}",https://api.spotify.com/v1/tracks/6H2gA3ssBTODpd82mrm72c,6H2gA3ssBTODpd82mrm72c,0,Jefe De Jefes,28,https://p.scdn.co/mp3-preview/8809a5521f44f1c632fd7e34c86382c6c51dc27d?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,8,track,spotify:track:6H2gA3ssBTODpd82mrm72c
2dNvHbnHvCE4ro4cvNOmls,"[""7JPuolk7ddUtMTmmGwS5Xp""]",1,259515,1,"{""isrc"": ""QZ5AB1984119""}","{""spotify"": ""https://open.spotify.com/track/6HNuacDgJHl74SdHhe3eSf""}",https://api.spotify.com/v1/tracks/6HNuacDgJHl74SdHhe3eSf,6HNuacDgJHl74SdHhe3eSf,0,La Ruleta,15,https://p.scdn.co/mp3-preview/7ba163a265d3c74880a38fa8e75b6db75704b7e9?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,13,track,spotify:track:6HNuacDgJHl74SdHhe3eSf
01UJJt3Aregqk8jZMDPB5x,"[""07PdYoE4jVRF6Ut40GgVSP""]",1,220386,1,"{""isrc"": ""MXF010400271""}","{""spotify"": ""https://open.spotify.com/track/6HmbxFHqanr8i6CsZfbokq""}",https://api.spotify.com/v1/tracks/6HmbxFHqanr8i6CsZfbokq,6HmbxFHqanr8i6CsZfbokq,0,Conexión Puerto Rico (feat. Tego Calderón),48,https://p.scdn.co/mp3-preview/a3144daaa4672bf0b120959f6737bd30af514f2f?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,3,track,spotify:track:6HmbxFHqanr8i6CsZfbokq
7EUdWl4qKiG9gcRikSQsk5,"[""0aS41TT32O5PsnAB7qZj7L""]",1,169675,0,"{""isrc"": ""QZMEP2072275""}","{""spotify"": ""https://open.spotify.com/track/6I4POHNSAR0WYY8vnivXvw""}",https://api.spotify.com/v1/tracks/6I4POHNSAR0WYY8vnivXvw,6I4POHNSAR0WYY8vnivXvw,0,Sapphire,18,https://p.scdn.co/mp3-preview/da58c210e87bbae97657e0e4e4d2defd9a719c15?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6I4POHNSAR0WYY8vnivXvw
1XQhOIc7u1TRJAhDoVxv4r,"[""0ZrpamOxcZybMHGg1AYtHP""]",1,266986,0,"{""isrc"": ""TCACS1664850""}","{""spotify"": ""https://open.spotify.com/track/6I9WVCFT9igOoQDAhCe2so""}",https://api.spotify.com/v1/tracks/6I9WVCFT9igOoQDAhCe2so,6I9WVCFT9igOoQDAhCe2so,0,Deep,18,https://p.scdn.co/mp3-preview/50f6e5e86fc4145d13da3ba80914641cf6745689?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6I9WVCFT9igOoQDAhCe2so
3ab09On4yMSNdKHs3DnTw2,"[""4H3ePoFDdsl36QwB96jZzg""]",1,180103,1,"{""isrc"": ""QZNJX2127372""}","{""spotify"": ""https://open.spotify.com/track/6IGhbOsqEiJcOZsuDHaUzD""}",https://api.spotify.com/v1/tracks/6IGhbOsqEiJcOZsuDHaUzD,6IGhbOsqEiJcOZsuDHaUzD,0,Sonando y Soñando,1,https://p.scdn.co/mp3-preview/0688c50b1e46d4774431e37d45833024feddb895?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6IGhbOsqEiJcOZsuDHaUzD
7JmiWQ6QXiTAc3MuNiwVSr,"[""6vlxUw95jWZCE6lF0kZpnj""]",1,244285,0,"{""isrc"": ""QZDFP1922696""}","{""spotify"": ""https://open.spotify.com/track/6IGmBkDuFFFvFzcug66aml""}",https://api.spotify.com/v1/tracks/6IGmBkDuFFFvFzcug66aml,6IGmBkDuFFFvFzcug66aml,0,El Diablo nos junta,1,https://p.scdn.co/mp3-preview/bde4aa10d8df94f9d450228b9437bd73d13cd821?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6IGmBkDuFFFvFzcug66aml
2AbyDhzuhpMNKEm8johQft,"[""27Owkm4TGlMqb0BqaEt3PW""]",1,112493,1,"{""isrc"": ""USUL10201082""}","{""spotify"": ""https://open.spotify.com/track/6IfMZeHEN9c7szM9OwGzYe""}",https://api.spotify.com/v1/tracks/6IfMZeHEN9c7szM9OwGzYe,6IfMZeHEN9c7szM9OwGzYe,0,Dance And Dense Denso,47,https://p.scdn.co/mp3-preview/cc5f42c7766f734d3d08575b1b7c132bc492bf4d?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6IfMZeHEN9c7szM9OwGzYe
7vzMKBYUQr424h800etmrT,"[""1FCItwxfRieMGhR0eRxotU""]",1,216100,0,"{""isrc"": ""QZHZ32169892""}","{""spotify"": ""https://open.spotify.com/track/6Iim27KsCIvDm8SrUAjRPO""}",https://api.spotify.com/v1/tracks/6Iim27KsCIvDm8SrUAjRPO,6Iim27KsCIvDm8SrUAjRPO,0,Block Side,28,https://p.scdn.co/mp3-preview/3a7948cea41488c4768a54f855ce017ae914c64f?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6Iim27KsCIvDm8SrUAjRPO
01VepFuJgEdDQnvVEykhk6,"[""4QFG9KrGWEbr6hNA58CAqE""]",1,258353,1,"{""isrc"": ""QZGLS1944375""}","{""spotify"": ""https://open.spotify.com/track/6J9V3EgYR2Kw0XZUaLcoID""}",https://api.spotify.com/v1/tracks/6J9V3EgYR2Kw0XZUaLcoID,6J9V3EgYR2Kw0XZUaLcoID,0,Humo en la Trampa,61,https://p.scdn.co/mp3-preview/4ba84ad08f096b9274cd0f30870ea8cdb61ad326?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6J9V3EgYR2Kw0XZUaLcoID
