external_urls,href,id,name,type,uri
"{""spotify"": ""https://open.spotify.com/artist/0zfvfy9XlborSqXNRhi8Bk""}",https://api.spotify.com/v1/artists/0zfvfy9XlborSqXNRhi8Bk,0zfvfy9XlborSqXNRhi8Bk,Samantha Barrón,artist,spotify:artist:0zfvfy9XlborSqXNRhi8Bk
"{""spotify"": ""https://open.spotify.com/artist/0zgFL90nGTrH2iOMD8Vysy""}",https://api.spotify.com/v1/artists/0zgFL90nGTrH2iOMD8Vysy,0zgFL90nGTrH2iOMD8Vysy,Sabino,artist,spotify:artist:0zgFL90nGTrH2iOMD8Vysy
"{""spotify"": ""https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW""}",https://api.spotify.com/v1/artists/11kBu957KTYoAltZHDm8gW,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,artist,spotify:artist:11kBu957KTYoAltZHDm8gW
"{""spotify"": ""https://open.spotify.com/artist/11mqrDSFRRz8g0Wb3syJj5""}",https://api.spotify.com/v1/artists/11mqrDSFRRz8g0Wb3syJj5,11mqrDSFRRz8g0Wb3syJj5,Panteon Rococo,artist,spotify:artist:11mqrDSFRRz8g0Wb3syJj5
"{""spotify"": ""https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ""}",https://api.spotify.com/v1/artists/12GqGscKJx3aE4t07u7eVZ,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,artist,spotify:artist:12GqGscKJx3aE4t07u7eVZ
"{""spotify"": ""https://open.spotify.com/artist/12trz2INGglrKMzLmg0y2C""}",https://api.spotify.com/v1/artists/12trz2INGglrKMzLmg0y2C,12trz2INGglrKMzLmg0y2C,Emotional Oranges,artist,spotify:artist:12trz2INGglrKMzLmg0y2C
"{""spotify"": ""https://open.spotify.com/artist/12wTrvRwxmsbUxkLffkPfv""}",https://api.spotify.com/v1/artists/12wTrvRwxmsbUxkLffkPfv,12wTrvRwxmsbUxkLffkPfv,Chystemc,artist,spotify:artist:12wTrvRwxmsbUxkLffkPfv
"{""spotify"": ""https://open.spotify.com/artist/13WVBropupZqKjcG9rP8Zy""}",https://api.spotify.com/v1/artists/13WVBropupZqKjcG9rP8Zy,13WVBropupZqKjcG9rP8Zy,ReeMau,artist,spotify:artist:13WVBropupZqKjcG9rP8Zy
"{""spotify"": ""https://open.spotify.com/artist/146jiLUXkDZahBdRQhwNHD""}",https://api.spotify.com/v1/artists/146jiLUXkDZahBdRQhwNHD,146jiLUXkDZahBdRQhwNHD,Lupe Tijerina y Rosendo Cantu,artist,spotify:artist:146jiLUXkDZahBdRQhwNHD
"{""spotify"": ""https://open.spotify.com/artist/14DIWXxTBoAzGJNsAFvNWU""}",https://api.spotify.com/v1/artists/14DIWXxTBoAzGJNsAFvNWU,14DIWXxTBoAzGJNsAFvNWU,La Edición de Culiacán,artist,spotify:artist:14DIWXxTBoAzGJNsAFvNWU
"{""spotify"": ""https://open.spotify.com/artist/14dNhqhwFlu2nJuDZRuy8t""}",https://api.spotify.com/v1/artists/14dNhqhwFlu2nJuDZRuy8t,14dNhqhwFlu2nJuDZRuy8t,Astrallbass,artist,spotify:artist:14dNhqhwFlu2nJuDZRuy8t
"{""spotify"": ""https://open.spotify.com/artist/16YhiWjmyoCqhoZGbuQNsE""}",https://api.spotify.com/v1/artists/16YhiWjmyoCqhoZGbuQNsE,16YhiWjmyoCqhoZGbuQNsE,Asis,artist,spotify:artist:16YhiWjmyoCqhoZGbuQNsE
"{""spotify"": ""https://open.spotify.com/artist/171953d8wJbRvl2f36uLDd""}",https://api.spotify.com/v1/artists/171953d8wJbRvl2f36uLDd,171953d8wJbRvl2f36uLDd,King Zoo,artist,spotify:artist:171953d8wJbRvl2f36uLDd
"{""spotify"": ""https://open.spotify.com/artist/18vnqu7XJRHPmua3tsejG5""}",https://api.spotify.com/v1/artists/18vnqu7XJRHPmua3tsejG5,18vnqu7XJRHPmua3tsejG5,Willie DeVille,artist,spotify:artist:18vnqu7XJRHPmua3tsejG5
"{""spotify"": ""https://open.spotify.com/artist/1BIPunmLho7BYxe9gD4bFg""}",https://api.spotify.com/v1/artists/1BIPunmLho7BYxe9gD4bFg,1BIPunmLho7BYxe9gD4bFg,Kiddie Gang,artist,spotify:artist:1BIPunmLho7BYxe9gD4bFg
